2503;0.05;1343
2413;0.1;1299
2235;0.15;1323
2139;0.2;1344
2139;0.25;1393
2150;0.3;1425
2145;0.35;1430
2138;0.4;1461
2062;0.45;1481
2050;0.5;1474
2413;0.1;1291
2506;0.05;1280
2413;0.05;1284
2046;0.45;1492
2144;0.35;1470
2050;0.2;1348
2143;0.4;1455
2506;0.05;1278
2050;0.4;1476
2144;0.15;1313
2230;0.15;1318
2428;0.1;1296
2054;0.35;1464
2050;0.5;1474
2139;0.25;1386
2230;0.15;1325
2132;0.25;1393
2153;0.5;1501
2139;0.3;1416
2144;0.15;1321
2061;0.45;1459
2050;0.4;1451
2413;0.1;1297
2413;0.1;1290
2336;0.1;1295
2413;0.1;1287
2150;0.2;1347
1977;0.5;1473
2506;0.05;1277
2506;0.05;1268
2054;0.5;1466
2230;0.2;1343
2230;0.2;1353
2054;0.3;1411
2339;0.15;1321
2069;0.4;1459
2139;0.35;1456
2139;0.2;1341
2050;0.4;1450
2230;0.15;1315
2146;0.3;1417
2230;0.15;1339
2150;0.15;1319
2139;0.4;1478
2148;0.35;1447
2142;0.25;1384
2139;0.3;1460
2139;0.25;1635
2047;0.3;1451
2050;0.5;1450
2150;0.2;1358
2230;0.2;1341
2245;0.15;1326
2139;0.35;1467
2139;0.25;1372
2139;0.35;1436
2054;0.3;1435
1960;0.5;1482
2230;0.2;1341
2150;0.1;1295
2065;0.45;1467
2147;0.4;1497
2145;0.5;1467
2230;0.25;1404
2045;0.25;1388
2144;0.3;1420
2139;0.4;1482
2050;0.45;1482
2241;0.15;1326
2050;0.5;1450
2153;0.5;1498
2150;0.25;1373
2054;0.4;1466
2059;0.4;1482
2144;0.5;1482
2139;0.45;1467
2145;0.3;1435
2230;0.15;1310
2055;0.45;1482
2050;0.5;1467
2050;0.45;1482
2132;0.2;1341
2132;0.25;1389
2150;0.2;1357
2071;0.45;1498
2145;0.45;1482
2413;0.15;1326
2144;0.3;1419
2054;0.4;1482
1970;0.5;1451
2150;0.15;1310
2069;0.4;1467
2050;0.4;1497
2062;0.45;1498
2507;0.05;1279
2237;0.15;1311
2052;0.45;1466
1977;0.5;1466
2055;0.4;1467
2146;0.3;1404
2050;0.4;1466
2139;0.35;1435
2146;0.45;1498
2230;0.35;1451
2342;0.1;1295
2054;0.5;1482
2139;0.35;1450
2050;0.45;1482
2142;0.3;1420
1977;0.35;1466
2050;0.4;1467
2141;0.5;1466
2050;0.4;1482
2054;0.35;1435
2136;0.2;1342
2052;0.3;1419
2230;0.15;1326
2139;0.45;1467
2148;0.4;1466
2065;0.25;1388
2054;0.4;1467
2230;0.2;1357
2052;0.45;1482
2138;0.35;1451
2506;0.05;1279
2050;0.4;1466
2083;0.5;1482
2144;0.3;1420
2083;0.5;1482
2139;0.25;1388
2150;0.3;1420
2144;0.3;1420
2140;0.45;1482
2050;0.45;1466
2139;0.45;1482
2150;0.25;1373
2050;0.35;1466
2150;0.25;1389
